,,,,,Product List,,,,,,,,
2181,,,qalam brush,,,,1,,28,,,50,
2182,,,welding rod steel (per pc.),,,,1,,50,,,70,
2183,,,angethi heater (s),,,,1,,390,,,750,
2184,,,varnish dabi,,,,1,,180,,,400,
2185,,,cable tie 250mm,,,,1,,240,,,400,
2186,,,cable tie 300mm,,,,1,,300,,,550,
2187,,,gas compressor,,,,1,,1250,,,1800,
2188,,,timer super asia,,,,1,,180,,,350,
2189,,,"draz lock 1/2"" (101)",,,,1,,83.333,,,250,
2190,,,extention 099,,,,1,,460,,,900,
2191,,,"binding tape 2"" (7+10 yrd.)",,,,1,,110,,,350,
2192,,,"socket valve 1-1/4"" ARS",,,,1,,1890,,,3500,
2193,,,water tank accufit 500L RED,,,,1,,7652.44,,,9000,
2194,,,folding chabi black,,,,1,,260,,,380,
2195,,,water tank accufit 750L GREEN,,,,1,,11884.88,,,14500,
2196,,,water tank accufit 1000L GREEN,,,,1,,14876.62,,,17500,
2197,,,smt battery cable 300amp,,,,1,,605,,,1300,
2198,,,smt battery cable 400amp,,,,1,,805,,,1500,
2199,,,kitchen cleaner,,,,1,,300,,,450,
2200,,,chabi drill machine,,,,1,,70,,,200,
2201,,,"disc steel 5""(mm) GT",,,,1,,70,,,120,
2202,,,"smt grinder chabi 5""",,,,1,,187,,,350,
2203,,,"smt grinder chabi 7""+9""",,,,1,,209,,,380,
2204,,,driver screw crystal big,,,,1,,120,,,200,
2205,,,"tower bolt 12"" brass",,,,1,,720,,,1200,
2206,,,"disc 7"" HRS",,,,1,,1050,,,1450,
2207,,,ayatul kursi,,,,1,,4000,,,4500,
2208,,,combination spaner 21mm,,,,1,,320,,,450,
2209,,,combination spaner 22mm,,,,1,,340,,,480,
2210,,,combination spaner 23mm,,,,1,,410,,,550,
2271,,,mobile multi hero,,,,1,,52,,,120,
2272,,,cc,,,,1,,0,,,0,
2273,,,zahid basin mixer prifit,,,,1,,3200,,,5000,
2274,,,zahid bib cock aqua,,,,1,,730,,,1050,
2275,,,zahid tee cock aqua,,,,1,,730,,,1200,
2276,,,neck casted long,,,,1,,1200,,,1600,
2277,,,bearing 6204 NTN,,,,1,,180,,,280,
2278,,,gmsa elfy 50grm,,,,1,,255,,,300,
2279,,,cc,,,,1,,0,,,0,
2280,,,itc bulb 7w,,,,1,,120,,,200,
2281,,,dada bottle 2ltr. color,,,,1,,750,,,1200,
2282,,,naflo plastic pipe 1mtr.,,,,1,,445,,,650,
2283,,,wd 40 (200ml china),,,,1,,220,,,400,
2284,,,dori saal big,,,,1,,60,,,100,
2285,,,smt ppr heater 340 auto,,,,1,,2700,,,3200,
2286,,,smt ppr heater 341,,,,1,,2850,,,3350,
2287,,,smt ppr heater 342,,,,1,,4100,,,4600,
2288,,,smt hole saw 65mm,,,,1,,2150,,,2500,
2289,,,chabi 18-19,,,,1,,280,,,380,
2290,,,chabi 20-22,,,,1,,330,,,450,
2291,,,chabi 22-24,,,,1,,380,,,550,
2292,,,mosketo killer 8w,,,,1,,2450,,,3500,
2293,,,aar par screw,,,,1,,30,,,60,
2294,,,sea star slury,,,,1,,600,,,750,
2295,,,filter dhaga heavy,,,,1,,350,,,600,
2296,,,caurtain latoo (m),,,,1,,70,,,150,
2297,,,cc,,,,1,,0,,,0,
2298,,,ac tape wraping orignal,,,,1,,145,,,250,
2299,,,"bush 1/2""x3/4"" (golden)",,,,1,,65,,,180,
2300,,,wiper pvc (s),,,,1,,160,,,250,
2301,,,wiper pvc (m),,,,1,,200,,,300,
2302,,,wiper pvc (L),,,,1,,250,,,400,
2335,,,"IA non return valve 1""",,,,1,,1710,,,2500,
2336,,,"RBS non return  valve 3/4"" ",,,,1,,680,,,1150,
2337,,,"RBS safety valve 1"" (medium)",,,,1,,675,,,1350,
2338,,,sova led tube 24w (2 feet),,,,1,,700,,,1000,
2339,,,wind 3+1,,,,1,,201,,,450,
2340,,,wind 4g,,,,1,,198,,,450,
2341,,,wind 4+2,,,,1,,306,,,490,
2342,,,wind 6+2,,,,1,,336,,,650,
2343,,,hook # 16,,,,1,,12,,,30,
2344,,,angethi heaer (m),,,,1,,470,,,900,
2345,,,"flexible pipe 3/4""",,,,1,,11,,,30,
2346,,,sova led tube 45w (4 feet),,,,1,,1100,,,1500,
2347,,,cc,,,,1,,0,,,0,
2348,,,cc,,,,1,,0,,,0,
2349,,,cc,,,,1,,0,,,0,
2350,,,starter,,,,,,30,,,80,
2351,,,asf bib cock eco.,,,,1,,910,,,1450,
2352,,,comode kit (N),,,,1,,20,,,100,
2353,,,uniqe nut,,,,1,,30,,,150,
2354,,,plier normal,,,,1,,400,,,600,
2355,,,smt ceiling hole saw,,,,1,,0,,,0,
2356,,,asf tee cock eco. misc.,,,,1,,910,,,2000,
2357,,,asf bath set dove,,,,1,,19175,,,23500,
2358,,,bearing 608 without box,,,,1,,80,,,150,
2359,,,zeco led tube 40w (4 feet),,,,1,,1150,,,1600,
2360,,,conector strip 60 amp (loose),,,,1,,49,,,100,
2361,,,UHU glue,,,,1,,50,,,100,
2362,,,gainer pad lock 50mm ,,,,1,,390,,,580,
2363,,,"loose screw 3"" dzn.",,,,1,,85,,,160,
2364,,,"loose screw 4"" dzn.",,,,1,,100,,,180,
2365,,,"dabi screw 3""x 8 ",,,,1,,440,,,750,
2366,,,faco toilet shower ECHO set,,,,1,,1677,,,2300,
1349,,,lock cylender big (brass),,,,1,,600,,,750,
1350,,,presure guage,,,,1,,520,,,650,
1351,,,presure guage bush,,,,1,,140,,,250,
1352,,,dawn shelf ,,,,1,,250,,,450,
1353,,,ac bracket imported,,,,1,,780,,,1200,
1354,,,filter chabi (s),,,,1,,120,,,250,
1355,,,rope light (loose),,,,1,,93,,,150,
1356,,,extention,,,,1,,290,,,450,
1357,,,keef small,,,,1,,50,,,100,
1358,,,sub meter,,,,1,,650,,,1000,
1359,,,fuse white + big,,,,1,,22.5,,,50,
1360,,,"jali exaust 6"" wood",,,,1,,300,,,450,
1361,,,dada triger spray,,,,1,,50,,,100,
1362,,,asf side pilar cock,,,,1,,2080,,,3500,
1363,,,hob shisha china burner,,,,1,,10500,,,13500,
1364,,,cable rg-6 loose,,,,1,,16,,,60,
1365,,,cable rg-7 loose,,,,1,,19,,,70,
1366,,,chenab motor 2hp,,,,1,,22000,,,28000,
1367,,,"jet shower 4""(diamond) ss",,,,1,,300,,,500,
1368,,,teflon tape (DENA),,,,1,,40,,,80,
1369,,,"anchor bolt 5/16""",,,,1,,28,,,40,
1370,,,"anchor bolt 3/8""",,,,1,,52,,,70,
1371,,,flood light 50w wintime,,,,1,,650,,,1600,
1372,,,multi shoe (M),,,,1,,210,,,300,
1373,,,mosketo killer 10w,,,,1,,2750,,,3900,
1374,,,CAT- 6 data cable,,,,1,,20,,,60,
1375,,,2 core 40/76 copper (5.370),,,,1,,80,,,120,
1376,,,wiper jala,,,,1,,210,,,350,
1377,,,"mosketo rod 12""",,,,1,,260,,,450,
1378,,,"mosketo rod 18""",,,,1,,360,,,600,
1379,,,GFC capacitor 7.5uf,,,,1,,200,,,350,
1380,,,GFC capacitor 10uf,,,,1,,202,,,450,
1541,,,"man hole 18"" (degi ICIE)",,,,1,,3000,,,4500,
1542,,,MT cylender big (brass),,,,1,,990,,,1500,
1543,,,MT machine lock (L),,,,1,,1050,,,2500,
1544,,,"nut bolt 3/8 x 2-1/2"" (galv.)",,,,1,,25,,,60,
1545,,,khunti aluminium,,,,1,,110,,,180,
1546,,,gas pipe korian (H),,,,1,,30,,,50,
1547,,,porta saifan china (patta),,,,1,,630,,,950,
1548,,,"shisha bracket 6""",,,,1,,126,,,200,
1549,,,cell small Ag4,,,,1,,25,,,100,
1550,,,hook #12+14,,,,1,,9,,,30,
1551,,,bouncer termite 100ml,,,,1,,180,,,300,
1552,,,"shisha exaust 6"" (H)",,,,1,,2050,,,3000,
1553,,,MT pad lock 60mm,,,,1,,803,,,1150,
1554,,,board 5pcs blank,,,,1,,65,,,120,
1555,,,black cobra spray L,,,,1,,640,,,850,
1556,,,ali akber guardian 100ml,,,,1,,200,,,450,
1557,,,black cobra spray S,,,,1,,370,,,600,
1558,,,english 3/29 (HQ) 1.9,,,,1,,3800,,,4800,
1559,,,english 7/29 (HQ) 2.9,,,,1,,8000,,,9000,
1560,,,english 7/36 (HQ) ,,,,1,,10500,,,13500,
1561,,,"floor waste steel 4""",,,,1,,220,,,450,
1562,,,power plus machine,,,,1,,350,,,450,
1563,,,grip smd 7w,,,,1,,160,,,200,
1564,,,wiper brush china,,,,1,,250,,,450,
1565,,,wiper steel (L),,,,1,,380,,,550,
1566,,,zahid bath set lever grohee,,,,1,,10600,,,17000,
1567,,,zahid bath set lever ferari,,,,1,,9270,,,16000,
1568,,,zahid bath set falcon,,,,,,8200,,,15000,
1569,,,zahid bath set diamond flower,,,,1,,7345,,,14500,
1570,,,zahid bath set diamond prifit,,,,1,,11000,,,16000,
1571,,,zahid bath set diamond u head,,,,1,,6475,,,14000,
1888,,,key holder chabi,,,,1,,140,,,250,
1889,,,key holder tree,,,,1,,260,,,450,
1890,,,dabi lock,,,,1,,400,,,600,
1891,,,parda hook,,,,1,,25,,,80,
1892,,,geyser plate,,,,1,,250,,,450,
1893,,,"disc masala 14"" olympia",,,,1,,440,,,550,
1894,,,"gas valve 1/2"" chutki",,,,1,,230,,,650,
1895,,,iron shoe,,,,1,,65,,,120,
1896,,,"drill warma 16mm (hilti) 6""",,,,1,,150,,,250,
1897,,,"drill warma 14mm (hilti) 18""",,,,1,,400,,,650,
1898,,,"drill warma 16mm (hilti) 18""",,,,1,,500,,,650,
1899,,,"drill warma 18mm (hilti) 18""",,,,1,,380,,,700,
1900,,,"drill warma 20mm (hilti) 18""",,,,1,,300,,,750,
1901,,,"drill warma 25mm (hilti) 18""",,,,1,,600,,,900,
1902,,,bouncer termite 1ltr,,,,1,,1800,,,3000,
1903,,,hamer ktc (L),,,,1,,650,,,850,
1904,,,pad lock 25mm gold,,,,1,,79.6,,,120,
1905,,,paper cutter (M),,,,1,,110,,,200,
1906,,,"dabi screw 1/2""x 4",,,,1,,78,,,100,
1907,,,"crome bracket 1"" single",,,,1,,85,,,180,
1908,,,crome almari bracket,,,,1,,55,,,100,
1909,,,parda latoo (N),,,,1,,47.5,,,100,
1910,,,battery 6v 4.5amp,,,,1,,1500,,,2300,
1911,,,nawar cloth kg,,,,1,,280,,,480,
1912,,,dori gola jute,,,,1,,130,,,200,
1913,,,rope light connector (H),,,,1,,120,,,180,
1914,,,"juiblee clamp 6""",,,,1,,80,,,150,
1915,,,"faco jet shower 8""x8""",,,,1,,4485,,,7500,
1916,,,faco jet shower single ,,,,1,,1248,,,2000,
1917,,,faco jet shower 5 way,,,,1,,1911,,,2800,
1918,,,english 7/44 (HQ),,,,1,,21000,,,26000,
2117,,,scale kanda 50kg,,,,1,,420,,,650,
2118,,,scale kanda 100kg,,,,1,,550,,,850,
2119,,,parda wire,,,,1,,10,,,20,
2120,,,parda hook taar,,,,1,,1,,,5,
2121,,,khurpa (L),,,,1,,170,,,350,
2122,,,rawal plug pkt,,,,1,,20,,,50,
2123,,,red oxide primer Qtr.,,,,1,,550,,,750,
2124,,,"shine exaust 8"" metal",,,,1,,1950,,,3000,
2125,,,"shine exaust 10"" metal",,,,1,,2070,,,3500,
2126,,,"eflux exaust 8"" metal",,,,1,,3500,,,4750,
2127,,,"eflux exaust 10"" metal",,,,1,,3750,,,5000,
2128,,,"eflux exaust 8"" plastic",,,,1,,3400,,,4800,
2129,,,"eflux exaust 10"" plastic",,,,1,,3650,,,4900,
2130,,,conector strip 100amp,,,,1,,560,,,750,
2131,,,duster cloth,,,,1,,36,,,50,
2132,,,uniqe seat cover IFO,,,,1,,600,,,1200,
2133,,,uniqe thimble gaodi,,,,1,,150,,,500,
2134,,,uniqe thimble silicone,,,,1,,220,,,650,
2135,,,uniqe seat cover hydiolic,,,,1,,1100,,,2500,
2136,,,"masking tape 1"" 10yrd",,,,1,,45,,,90,
2137,,,"masking tape 2"" 10yrd",,,,1,,85,,,150,
2138,,,rawal plug 18+24,,,,1,,50,,,160,
2139,,,element 1000w,,,,1,,33,,,100,
2140,,,mb toilet shower color set,,,,1,,250,,,800,
2141,,,double tape role small,,,,1,,85,,,250,
2142,,,jharu bans,,,,1,,70.833,,,150,
2143,,,"smt disc masala steel 4""",,,,1,,102,,,150,
2144,,,"smt disc steel masala 5""",,,,1,,150,,,200,
2145,,,"smt disc steel masala 7""",,,,1,,245,,,350,
2146,,,"smt disc steel masala 9""",,,,1,,345,,,400,
2147,,,"smt disc steel masala 14""",,,,1,,520,,,600,
2211,,,combination spaner 24mm,,,,1,,460,,,600,
2212,,,philips bulb 24w,,,,1,,1824,,,2100,
2213,,,philips bulb 30w,,,,1,,2170,,,2600,
2214,,,philips bulb 40w,,,,1,,2900,,,3300,
2215,,,philips bulb 50w,,,,1,,3900,,,4400,
2216,,,"parda bracket 1""(N)",,,,1,,45,,,80,
2217,,,flood light 50w,,,,1,,650,,,950,
2218,,,double tape role big,,,,1,,850,,,1600,
2219,,,plier diamond,,,,1,,300,,,450,
2220,,,"crome bracket 1"" single (H)",,,,1,,135,,,250,
2221,,,star master basin pedistal (s),,,,1,,3500,,,5500,
2222,,,star master basin pedistal (m),,,,1,,4400,,,6500,
2223,,,star master basin pedistal (L),,,,1,,4800,,,7500,
2224,,,star master indian seat (s),,,,1,,1500,,,2500,
2225,,,star master indian seat (m),,,,1,,1500,,,2500,
2226,,,cc,,,,1,,0,,,0,
2227,,,cc,,,,1,,0,,,0,
2228,,,cc,,,,1,,0,,,0,
2229,,,cc,,,,1,,0,,,0,
2230,,,"nut bolt 5/16 x 1/2"" (galv.) bed",,,,1,,7.53,,,15,
2231,,,"nut bolt 5/16 x 3/4"" (galv.)",,,,1,,9,,,20,
2232,,,"nut bolt 5/16 x 1"" (galv.)",,,,1,,10,,,20,
2233,,,"nut bolt 5/16 x 1-1/4"" (galv.)",,,,1,,11,,,20,
2234,,,"nut bolt 5/16 x 1-1/2"" (galv.)",,,,1,,13,,,25,
2235,,,"nut bolt 5/16 x 2"" (galv.)",,,,1,,12,,,30,
2236,,,"nut bolt 3/8 x 3/4"" (galv.)",,,,1,,12,,,25,
2237,,,"nut bolt 3/8 x 1"" (galv.)",,,,1,,13,,,30,
2238,,,"nut bolt 3/8 x 1-1/4"" (galv.)",,,,1,,14,,,30,
2239,,,"nut bolt 3/8 x 1-1/2"" (galv.)",,,,1,,15,,,30,
2240,,,"nut bolt 3/8 x 2"" (galv.)",,,,1,,18,,,40,
2303,,,"bottle trap pipe 15""",,,,1,,600,,,1350,
2304,,,smt hole saw 8pcs,,,,1,,938,,,1250,
2305,,,"bottle trape pipe 18""",,,,1,,850,,,1500,
2306,,,Lpg regulator high presure,,,,1,,775,,,950,
2307,,,mortin machine,,,,1,,520,,,750,
2308,,,mortin spray S,,,,1,,520,,,750,
2309,,,Lpg regulator small,,,,1,,300,,,450,
2310,,,2 core 7/36 cc,,,,1,,35,,,80,
2311,,,helogen rod 500w,,,,1,,50,,,100,
2312,,,helogen rod hanger,,,,1,,30,,,100,
2313,,,combination spaner 20mm,,,,1,,325,,,450,
2314,,,chabi 21-23,,,,1,,350,,,480,
2315,,,"l key # 3/8"" single",,,,1,,180,,,350,
2316,,,wind 3g,,,,1,,177,,,390,
2317,,,"upvc pipe 3/4"" (SH-40)",,,,1,,495,,,590,
2318,,,"upvc elbow 3/4""",,,,1,,18.72,,,30,
2319,,,"upvc elbow 3/4"" 45*",,,,1,,18.72,,,30,
2320,,,"upvc socket 3/4""",,,,1,,16,,,30,
2321,,,"upvc tee 3/4""",,,,1,,28,,,50,
2322,,,cheni steel / kg,,,,1,,450,,,580,
2323,,,breaker kanghi coper,,,,1,,580,,,750,
2324,,,ac tape black,,,,1,,225,,,350,
2325,,,power plus spray S,,,,1,,330,,,550,
2326,,,cc,,,,1,,0,,,0,
2327,,,emulsion galon (ubex),,,,1,,450,,,900,
2328,,,M4 x 20mm (dabi),,,,1,,208,,,260,
2329,,,M4 x 25mm (dabi),,,,1,,236,,,300,
2330,,,l key #1.5+3mm single,,,,1,,42,,,80,
2331,,,silicone gun heavy,,,,1,,600,,,850,
2332,,,"upvc union 3/4""",,,,1,,62,,,100,
2333,,,"IA float valve 1"" spring",,,,1,,1912.3,,,2500,
2334,,,"IA float valve 3/4"" spring",,,,1,,1552,,,2200,
2367,,,faco toilet shower SMART set,,,,1,,1170,,,2500,
2368,,,faco toilet shower BOLD set,,,,1,,1677,,,2800,
2369,,,faco toilet shower AQUA set,,,,1,,1725,,,2600,
2370,,,faco toilet shower VIGO set,,,,1,,1935,,,3000,
2371,,,faco toilet shower EROS set,,,,1,,1860,,,2800,
2372,,,faco hand shower GLORIA,,,,1,,3030,,,5000,
2373,,,"water proof tape 4"" 1.5 mtr.",,,,1,,450,,,800,
2374,,,"water proof tape 4"" loose /feet",,,,1,,68.75,,,150,
2375,,,rivets dzn.,,,,1,,30,,,80,
2376,,,"upvc end cap 3/4""",,,,1,,10.4,,,20,
2377,,,itc bulb 40w,,,,1,,780,,,1000,
2378,,,itc bulb 50w,,,,1,,780,,,1250,
2379,,,power plus spray L,,,,1,,500,,,800,
2380,,,faco hand shower SPRING,,,,1,,2910,,,4500,
2381,,,"faco hex pipe 24""",,,,1,,358,,,650,
2382,,,faco hex pipe 1meter,,,,1,,432,,,800,
2383,,,faco chain pipe 1 meter,,,,1,,498,,,800,
2384,,,faco chain pipe 1-1/4 meter,,,,1,,540,,,1000,
2385,,,faco chain pipe 1-1/2 meter,,,,1,,666,,,1200,
2386,,,"faco conection pipe 18""",,,,1,,408,,,650,
2387,,,"faco conection pipe 24""",,,,1,,444,,,700,
2388,,,faco conection pipe 1 meter,,,,1,,600,,,1000,
2389,,,"mashallah 24""x9"" gold",,,,1,,2800,,,4000,
2390,,,"faco mixer pipe 18""x 50mm single",,,,1,,417,,,650,
2391,,,"faco mixer pipe 18""x 75mm single",,,,1,,468,,,700,
2392,,,aluminium wheel,,,,1,,60,,,100,
2393,,,tomzn breaker 63amp DC (2pole),,,,1,,1250,,,3000,
2394,,,oval bracket,,,,1,,17,,,50,
2395,,,stove paya,,,,1,,35,,,70,
2396,,,"l koni 1"" H",,,,1,,8.5,,,15,
2397,,,"l koni 1-1/2"" H",,,,1,,12.75,,,20,
2431,,,door bell exelent2,,,,1,,440,,,700,
2432,,,"TFE cp nozle 1""",,,,1,,208,,,300,
2433,,,"TFE cp nozle 1-1/2""",,,,1,,233,,,350,
2434,,,"TFE cp nozle 2""",,,,1,,320,,,380,
2435,,,"l koni 2"" H",,,,1,,17,,,25,
2436,,,"l koni 3"" H",,,,1,,25.5,,,40,
2437,,,ceiling fan,,,,1,,6000,,,8500,
2438,,,"l koni 4"" H",,,,1,,34,,,50,
2439,,,malmal 5yrd,,,,1,,135,,,200,
2440,,,cc,,,,1,,0,,,0,
2441,,,cc,,,,1,,0,,,0,
2442,,,tub ,,,,1,,730,,,1250,
2443,,,cc,,,,1,,0,,,0,
2444,,,cc,,,,1,,0,,,0,
2445,,,bachat dabi,,,,1,,210,,,300,
2446,,,balti big,,,,1,,1100,,,150,
2447,,,dust bin,,,,1,,1100,,,1700,
2448,,,cc,,,,1,,0,,,0,
2449,,,"brass nipple 1/2""x3/4""",,,,1,,65,,,230,
2450,,,wind 1g,,,,1,,99,,,350,
2451,,,wind tv,,,,1,,147,,,450,
2452,,,wind 1+1,,,,1,,141,,,390,
2453,,,wind 2way,,,,,,130,,,430,
2454,,,wind 2+1,,,,1,,168,,,560,
2455,,,wind 2+2,,,,1,,192,,,450,
2456,,,wind 5+1,,,,1,,291,,,550,
2457,,,wind 7+1,,,,1,,321,,,690,
2458,,,wind 8+2,,,,1,,360,,,700,
2459,,,wind bp,,,,1,,130,,,390,
2460,,,wind tv+tel,,,,1,,198,,,450,
2461,,,M4 x 30mm (dabi),,,,1,,266,,,320,
2462,,,cc,,,,1,,0,,,0,
2463,,,nalka mixer gole (H),,,,1,,2475,,,5000,
2464,,,water filter washer,,,,1,,15,,,50,
1381,,,GFC capacitor 20uf,,,,1,,250,,,600,
1382,,,GFC capacitor 25uf,,,,1,,330,,,700,
1383,,,cell toshiba M,,,,1,,110,,,160,
1384,,,air cooler dead nut,,,,1,,20,,,90,
1385,,,"dabi screw 2-1/2""x 6",,,,1,,340,,,450,
1386,,,non uniqe 4G & 3+1 & 2+2,,,,1,,237,,,450,
1387,,,non uniqe 2+1,,,,1,,204,,,490,
1388,,,non uniqe 5+1,,,,1,,284,,,550,
1389,,,non uniqe 6+2 & 7+1,,,,1,,379,,,590,
1390,,,non uniqe 8+2,,,,1,,425,,,650,
1391,,,non uniqe main switch,,,,1,,261,,,650,
1392,,,non uniqe multi 5+1,,,,1,,346,,,550,
1393,,,non uniqe multi 5+1 double,,,,,,441,,,700,
1394,,,non uniqe pp,,,,1,,313,,,500,
1395,,,non uniqe fan dimer,,,,1,,80,,,250,
1396,,,non uniqe tv+tel,,,,1,,216,,,450,
1397,,,duct 60x60 (china),,,,1,,625,,,1000,
1398,,,golden ceto dona ivory,,,,1,,3700,,,12500,
1399,,,lumino smd downlight 12w,,,,,,330,,,550,
1400,,,filter jug+plate,,,,1,,1100,,,2500,
1401,,,non n1 multi double,,,,1,,593,,,1250,
1402,,,local light plug (double),,,,1,,290,,,480,
1403,,,mop duster cloth (N),,,,1,,160,,,250,
1404,,,lpg stove ,,,,1,,450,,,600,
1405,,,randa blade set,,,,1,,350,,,450,
1406,,,"binding tape 2"" (30 yrd.)",,,,,,400,,,680,
1407,,,bull extention gole (M C9 2k),,,,1,,1235,,,2500,
1408,,,spindal lever kit (black),,,,1,,380,,,900,
1409,,,plastic pipe 1m (arino box),,,,1,,330,,,550,
1410,,,knob stove plastic (H),,,,1,,50,,,120,
1411,,,"GFC bracket fan 24"" mega",,,,1,,11700,,,12500,
1412,,,"GFC bracket fan 18"" copper",,,,1,,7350,,,9500,
1413,,,auto ignition gyser,,,,1,,400,,,700,
1572,,,zahid bath set diamond aqua,,,,1,,6100,,,13000,
1573,,,machine screw loose,,,,1,,15,,,40,
1574,,,guarden fawara (big),,,,1,,450,,,600,
1575,,,extention 4way GR-841,,,,1,,950,,,2250,
1576,,,"drill warma 20mm (hilti) 8""",,,,1,,300,,,450,
1577,,,M4 x 35mm (dabi),,,,1,,299,,,390,
1578,,,emergency light,,,,1,,210,,,450,
1579,,,emergency light solar (H),,,,1,,2200,,,3000,
1580,,,"nut bolt 1/4 x 3/4"" (galv.)",,,,1,,4,,,10,
1581,,,"nut bolt 1/4 x 1"" (galv.)",,,,1,,5,,,20,
1582,,,"nut bolt 1/4 x 1-1/4"" (galv.)",,,,1,,6,,,20,
1583,,,"nut bolt 1/4 x 1/2"" (galv.)",,,,1,,6,,,20,
1584,,,"nut bolt 1/4 x 2"" (galv.)",,,,1,,8,,,30,
1585,,,"nut bolt 1/4 x 2-1/2"" (galv.)",,,,1,,10,,,30,
1586,,,takora,,,,1,,100,,,200,
1587,,,par warma,,,,1,,90,,,150,
1588,,,double bib cock (rozee),,,,1,,890,,,1350,
1589,,,kitchen scale,,,,1,,700,,,1500,
1590,,,breaker 6amp,,,,1,,240,,,550,
1591,,,breaker 16amp,,,,1,,240,,,600,
1592,,,M4 x 40mm (dabi),,,,1,,340,,,450,
1593,,,M4 x 45mm (dabi),,,,1,,379,,,500,
1594,,,M4 x 50mm (dabi),,,,1,,413,,,550,
1595,,,fan dimer clipsal,,,,1,,190,,,390,
1596,,,"disc steel 5"" (mm)",,,,1,,45,,,80,
1597,,,basin mixer china marble,,,,1,,2200,,,4500,
1598,,,chain pipe 2mtr. china,,,,1,,350,,,550,
1599,,,"level 12""",,,,1,,450,,,650,
1600,,,polo lite 1G,,,,1,,151,,,390,
1601,,,polo lite 2G,,,,1,,232,,,450,
1919,,,zahid double bib cock aqua,,,,1,,1732,,,2200,
1920,,,uniqe seat cover (black),,,,1,,725,,,1250,
1921,,,bearing 6205 nachi,,,,1,,150,,,450,
1922,,,"wood cutter 4"" (30teeth)HRS",,,,1,,490,,,680,
1923,,,"wood cutter 7"" (60teeth)HRS",,,,1,,1100,,,1450,
1924,,,marker big,,,,1,,56,,,90,
1925,,,non uniqe 4+2,,,,1,,283,,,945,
1926,,,non n1 (1+1),,,,1,,224,,,390,
1927,,,non n1 (2+1),,,,1,,271,,,450,
1928,,,non n1 (3+1),,,,1,,345,,,550,
1929,,,non n1 (5+1),,,,1,,505,,,690,
1930,,,non n1 (7+1),,,,1,,545,,,750,
1931,,,non n1 (8+2),,,,1,,579,,,890,
1932,,,non n1 (tv),,,,1,,29,,,350,
1933,,,non n1multi light plug,,,,1,,418,,,700,
1934,,,non n1 (main switch),,,,1,,406,,,850,
1935,,,non n1 (2 way),,,,1,,205,,,390,
1936,,,non n1 (Lp),,,,1,,309,,,600,
1937,,,non n1 (pp),,,,1,,361,,,650,
1938,,,non n1 (fan dimer),,,,1,,100,,,300,
1939,,,wd 40 (110ml china),,,,1,,150,,,300,
1940,,,door viewer,,,,1,,200,,,400,
1941,,,sea star SBR 1ltr.(H),,,,1,,750,,,1200,
1942,,,ali akber guardian lambda pkt,,,,1,,250,,,500,
1943,,,iil pipe 25mm (PN-16),,,,1,,662,,,750,
1944,,,"juiblee clamp 3""",,,,1,,50,,,90,
1945,,,element geyser 1500w italy,,,,1,,1650,,,2200,
1946,,,iil pipe 32mm (PN-16),,,,1,,1039,,,1190,
1947,,,"km safety sheet 6""",,,,1,,80,,,150,
1948,,,marker small,,,,1,,20,,,40,
1949,,,plastic pipe 1.5m (HM master box),,,,1,,210,,,700,
1950,,,"lion man hole 24""",,,,1,,9200,,,10500,
2398,,,sabro toilet shower (cp body),,,,1,,340,,,900,
2399,,,sabro toilet shower (cp complete),,,,1,,750,,,1300,
2400,,,l key set pride medium,,,,1,,550,,,750,
2401,,,"ktz ball valve 1-1/4"" china",,,,1,,2150,,,3800,
2402,,,gate wheel,,,,1,,380,,,500,
2403,,,polo lite LP +usb,,,,1,,505,,,750,
2404,,,sub meter al-syed,,,,1,,2000,,,3000,
2405,,,"eflux axaust 12"" plastic",,,,1,,3650,,,4900,
2406,,,oil tube,,,,1,,165,,,250,
2407,,,varnish Qtr.,,,,1,,500,,,750,
2408,,,brush toilet box,,,,1,,180,,,300,
2409,,,eflux moon light adj. 24w,,,,1,,700,,,950,
2410,,,marble jelly,,,,1,,160,,,250,
2411,,,scale digital (H),,,,1,,550,,,800,
2412,,,mosketo killer 40w,,,,1,,3500,,,5500,
2413,,,plastic sheet white mtr.,,,,1,,86.61,,,150,
2414,,,cotton waste,,,,1,,25,,,50,
2415,,,"mashallah 30""x12"" gold",,,,1,,3500,,,5000,
2416,,,"hood pipe 2m 4""",,,,1,,700,,,950,
2417,,,"hood pipe 3m 4""",,,,1,,850,,,1300,
2418,,,acrylic 1/2kg,,,,1,,28,,,150,
2419,,,acrylic 1kg,,,,1,,55,,,250,
2420,,,packing dori (big),,,,1,,80,,,150,
2421,,,xl multi 5 in1 (double),,,,1,,707,,,1200,
2422,,,fridge bulb led,,,,1,,125,,,200,
2423,,,door bell exelent 704,,,,1,,460,,,650,
2424,,,door bell exelent,,,,1,,638,,,950,
2425,,,table cap,,,,1,,40,,,150,
2426,,,gas pipe 2.5mm accufit,,,,1,,15.106,,,30,
2427,,,ac bracket (N),,,,1,,440,,,550,
2428,,,door bell exelent 1,,,,1,,360,,,600,
2429,,,tyre 4 ply,,,,1,,2100,,,2800,
2430,,,ac bracket (Rustam),,,,1,,700,,,900,
2465,,,faisal toilet shower cp,,,,1,,1190,,,1700,
2466,,,faisal toilet shower cp set,,,,1,,1983,,,2500,
2467,,,asf wall shower civic,,,,1,,5500,,,9500,
